Unnamed: 0,t,Ii,I_ss,V0_Vm,V_E,tms
12000,1.1999999999998845,-73.84801496301934,73.84801496301934,-50.0,-50.0,-1.1546319456101628e-10
12001,1.2000999999998845,-73.84801496336566,73.84801496336566,-50.0,-50.0,0.09999999988452579
12002,1.2001999999998842,-73.84801496772293,73.84801496772293,-50.0,-50.0,0.19999999988429273
12003,1.2002999999998842,-73.84801497496098,73.84801497496098,-50.0,-50.0,0.2999999998842817
12004,1.2003999999998842,-73.84801496748466,73.84801496748466,-50.0,-50.0,0.3999999998842707
12005,1.2004999999998842,-73.84801497019332,73.84801497019332,-50.0,-50.0,0.4999999998842597
12006,1.2005999999998842,-73.84801496474459,73.84801496474459,-50.0,-50.0,0.5999999998842487
12007,1.2006999999998842,-73.84801497165476,73.84801497165476,-50.0,-50.0,0.6999999998842377
12008,1.2007999999998842,-73.84801496979958,73.84801496979958,-50.0,-50.0,0.7999999998842267
12009,1.2008999999998842,-73.8480149663368,73.8480149663368,-50.0,-50.0,0.8999999998842156
12010,1.2009999999998842,-73.8480149591135,73.8480149591135,-50.0,-50.0,0.9999999998842046
12011,1.201099999999884,-73.84801496049872,73.84801496049872,-50.0,-50.0,1.0999999998839716
12012,1.201199999999884,-73.84801495912373,73.84801495912373,-50.0,-50.0,1.1999999998839606
12013,1.201299999999884,-73.84801495444398,73.84801495444398,-50.0,-50.0,1.2999999998839495
12014,1.201399999999884,-73.8480149598385,73.8480149598385,-50.0,-50.0,1.3999999998839385
12015,1.201499999999884,-73.84801495449267,73.84801495449267,-50.0,-50.0,1.4999999998841496
12016,1.201599999999884,-73.84801495690132,73.84801495690132,-50.0,-50.0,1.5999999998841385
12017,1.201699999999884,-73.84801495738216,73.84801495738216,-50.0,-50.0,1.6999999998841275
12018,1.201799999999884,-73.84801496477878,73.84801496477878,-50.0,-50.0,1.7999999998841165
12019,1.201899999999884,-73.84801496112271,73.84801496112271,-50.0,-50.0,1.8999999998841055
12020,1.201999999999884,-73.84801496520967,73.84801496520967,-50.0,-50.0,1.9999999998840945
12021,1.202099999999884,-73.84801496931317,73.84801496931317,-50.0,-50.0,2.0999999998840835
12022,1.202199999999884,-73.84801497799984,73.84801497799984,-50.0,-50.0,2.1999999998840725
12023,1.202299999999884,-73.84801497772044,73.84801497772044,-50.0,-50.0,2.2999999998840615
12024,1.202399999999884,-73.84801498016003,73.84801498016003,-50.0,-50.0,2.3999999998840504
12025,1.202499999999884,-73.84801497191134,73.84801497191134,-50.0,-50.0,2.4999999998840394
12026,1.202599999999884,-73.84801498148725,73.84801498148725,-50.0,-50.0,2.5999999998840284
12027,1.202699999999884,-73.84801498155535,73.84801498155535,-50.0,-50.0,2.6999999998840174
12028,1.202799999999884,-73.84801497221464,73.84801497221464,-50.0,-50.0,2.7999999998840064
12029,1.202899999999884,-73.84801496535859,73.84801496535859,-50.0,-50.0,2.8999999998839954
